X,Y,osm_id,name,place type,category,text_des
31.6920099,26.5693466,4576943290,شادى فاروق,clinic,Health,"تقع شادى فاروق في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.7347409,30.296051,4579809392,مدارس المصرية المتكاملة,school,Education,"تقع مدارس المصرية المتكاملة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
30.0623411,31.304292,4579813697,مدرسة الفريق عبد المنعم واصل الرسمية لغات,school,Education,"تقع مدرسة الفريق عبد المنعم واصل الرسمية لغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.4417926,30.1544511,4584818900,نفرتاري للغات,school,Education,"تقع نفرتاري للغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.24174,29.9674551,4587257690,مستشفى المعادى ق.م,hospital,Health,"تقع مستشفى المعادى ق.م في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3814885,31.2187183,4588746089,مدرسة الترزى بلقاس دقهليه,school,Education,"تقع مدرسة الترزى بلقاس دقهليه في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
29.9669399,31.2463037,4589307996,الدولبة لتدريب اطقم اليخوت,school,Education,"تقع الدولبة لتدريب اطقم اليخوت في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.5210962,30.5857599,4597508390,كلية الزراعة جامعة الزقازيق,school,Education,"تقع كلية الزراعة جامعة الزقازيق في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.2084314,30.0400411,4599426889,"عيادة الدكتور ""الأيمن فتحي حسين""",clinic,Health,"تقع عيادة الدكتور ""الأيمن فتحي حسين"" في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.3263385,30.049253,4607726053,Al Sayida Aisha School,school,Education,"تقع Al Sayida Aisha School في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.7369658,26.4246063,4616644589,د مايكل نعيم العمايده,clinic,Health,"تقع د مايكل نعيم العمايده في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.693459,26.5505173,4622546792,د.محمد صفوت,clinic,Health,"تقع د.محمد صفوت في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.7417025,30.2925951,4638382090,مدرسة البنات الرسمية للغات,school,Education,"تقع مدرسة البنات الرسمية للغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.7289563,30.3136689,4638382091,عمر بن العاص الرسمية,school,Education,"تقع عمر بن العاص الرسمية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3181568,30.1130399,4643156891,مستشفي الحلمية العسكري,hospital,Health,"تقع مستشفي الحلمية العسكري في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
32.3202676,31.2440232,4643646691,مستشفى بورفواد,hospital,Health,"تقع مستشفى بورفواد في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.4909946,30.5872137,4658648390,عيادة المبرة الشاملة,hospital,Health,"تقع عيادة المبرة الشاملة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2079311,30.0486115,4682221091,دكتور بدران,hospital,Health,"تقع دكتور بدران في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
29.9385546,31.2103065,4683208396,مستشفى المدينة للمرأة,hospital,Health,"تقع مستشفى المدينة للمرأة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.306246,30.0962148,4684958289,عيادة الدكتور سامح السيد سالم,clinic,Health,"تقع عيادة الدكتور سامح السيد سالم في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.1506313,29.9907225,4693001189,مستشفي الهرم,hospital,Health,"تقع مستشفي الهرم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3737691,30.1275872,4701452889,أكاديمية النزهة الجديده للمساحة ونظم المعلومات,school,Education,"تقع أكاديمية النزهة الجديده للمساحة ونظم المعلومات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
34.3952838,30.368827,4711604389,الوحدة الصحية,hospital,Health,"تقع الوحدة الصحية في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.6853934,30.5346131,4714151393,الثانوية بنين,school,Education,"تقع الثانوية بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.6853001,30.5345751,4714151491,الثانوية بنات,school,Education,"تقع الثانوية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.68098,30.5335538,4714164490,مدرسة الصنايع,school,Education,"تقع مدرسة الصنايع في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.7363957,30.2986627,4716174098,يو سى ماس,school,Education,"تقع يو سى ماس في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
34.6089114,25.6013878,4716324527,Jaz Lamaya clinic,clinic,Health,"تقع Jaz Lamaya clinic في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.3287032,30.0888906,4721454089,مدرسة مصر الجديدة النموذجية بنات,school,Education,"تقع مدرسة مصر الجديدة النموذجية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3826141,30.0930561,4733980424,مركز طبي مساكن شيراتون,hospital,Health,"تقع مركز طبي مساكن شيراتون في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.6804017,30.5440661,4735372722,مدرسة التجارة,school,Education,"تقع مدرسة التجارة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.5994922,30.169909,4736356223,مدرسة الدوار,school,Education,"تقع مدرسة الدوار في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.5149299,26.7762134,4743090027,مجمع 25 يناير التعليمي,school,Education,"تقع مجمع 25 يناير التعليمي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
